title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Food Chains,2014,Not Rated,82 minutes,Documentary,,,,Sanjay Rawal,,
Food Beware,2009,Not Rated,,Documentary,,,,,,
The Cherokee Word for Water,2013,PG,,,,,,,,
Cherry,1999,R,,Romantic Comedy,,,,,,
Cherry,2010,R,95 minutes,Drama,,,,Jeffrey Fine,"Kyle Gallner,Laura Allen,Britt Robertson",
Chernaya Voda,2017,,113 minutes,Horror,,,,Roman Karimov,,"$249,208"
Cherish,2002,R,,Comedy,,,,,,
ChÃ©ri,2009,R,92 minutes,Drama,,,,Stephen Frears,,
Cherchez La Femme,2017,,88 minutes,Comedy,,,,Sou Abadi,,"$416,960"
Cher Ami... iy yo!,2015,,73 minutes,Adventure,,,,Miguel Pujol,,
Chernobyl Diaries,2012,R,93 minutes,Horror,,,,Brad Parker,"Ingrid Bolso Berdal,Dimitri Diatchenko,Olivia Taylor Dudley,Devin Kelley,Jesse McCartney,Nathan Phillips","$42,411,721"
Cherche Fiance Tout Frais Payes,2007,,,,,,,,,"$653,855"
Cheongnyeon Gyeongchal,2017,,108 minutes,Action,,,,,,"$39,932,534"
Chennai Express,2013,Not Rated,141 minutes,Romantic Comedy,,,,Rohit Shetty,"Shahrukh Khan,Deepika Padukone","$67,283,612"
Du Cheng Feng Yun,2013,,,Action,,,,Wong Jing,,
Chennai 600028 II: Second Innings,2016,,150 minutes,Drama,,,,Venkat Prabhu,,"$48,506"
ChemSex,2015,,,Documentary,,,,William Fairman,,"$21,596"
Cheng feng po lang,2017,Not Rated,102 minutes,Drama,,,,Han Han,,"$151,933,650"
Krisha,2016,R,83 minutes,Drama,,,,,Krisha Fairchild,
Krippendorf's Tribe,1998,PG-13,,Comedy,,,,,,
Krigen,2016,R,115 minutes,Drama,,,,Tobias Lindholm,"Pilou Asbaek,Tuva Novotny","$216,316"
Der Kreis,2015,,,Drama,,,,Stefan Haupt,,
The Kreutzer Sonata,2012,R,,,,,,,,
Kray,2010,,,Drama,,,,,,
Kreuzweg,2015,Not Rated,107 minutes,Drama,,,,Dietrich Bruggermann,Lea van Acken,
The Krays,1990,R,,,,,,,,
Krazzy Tabbar,2017,,118 minutes,Drama,,,,Ajay Chandhok,,"$16,303"
Krazzy 4,2008,Not Rated,,Comedy,,,,,,"$5,945,182"
Krater,2011,,,Comedy,,,,,,
Krampus: The Reckoning,2015,Not Rated,90 minutes,Horror,,,,Robert Conway,,
KrÃ¡ska v nesnÃ¡zich,2008,Not Rated,,Comedy,,,,,,
Justin y la espada del valor,2014,PG,,Adventure,,,,Manuel Sicilia,,
Justin Bieberâ€™s Believe,2013,PG,92 minutes,Documentary,,,,Jon M. Chu,,"$32,226,781"
Justice League vs Teen Titans,2016,PG-13,,Action,,,,,,
Justice League: War,2014,PG-13,,Action,,,,Jay Oliva,,
Justice League: Throne of Atlantis,2015,PG-13,,Action,,,,Ethan Spaulding,,
Justin Bieber: Never Say Never,2011,G,105 minutes,Concert/Performance,,,,Jon M. Chu,,"$99,034,125"
Justice League - The New Frontier,2008,PG-13,75 minutes,Action,,,,,,
Justice League: The Flashpoint Paradox,2013,PG-13,,Action,,,,Jay Oliva,,
Justice League: Gods and Monsters,2015,PG-13,72 minutes,Action,,,,Sam Liu,,
Justice League: Crisis on Two Earths,2010,PG-13,75 minutes,Action,,,,,,
Justice League 2,2019,,,Action,,,,Zack Snyder,,
Justice League: Doom,2012,PG-13,,Action,,,,Lauren Montgomery,,
Justice League: Dark,2017,R,75 minutes,Adventure,,,,,,
No-Do,2010,R,,,,,,,,
No Distance Left to Run,2010,,104 minutes,Documentary,,,,,,"$64,300"
No culpes al karma de lo que te pasa por gilipollas,2017,R,,Comedy,,,,Maria Ripoll,,"$2,242,471"
No Control,2015,Not Rated,81 minutes,Documentary,,,,Jessica Solce,,
No Clue,2014,,,Comedy,,,,Carl Bessai,"Brent Butt,Amy Smart",
No Boundaries,2009,R,,,,,,,,
No Beast So Fierce,2016,Not Rated,85 minutes,Drama,,,,Tim McCann,,
Justice League,2017,PG-13,121 minutes,Action,,,,Zack Snyder,"Ben Affleck,Henry Cavill,Gal Gadot,Jason Momoa,Ezra Miller,Ray Fisher","$655,953,446"
No Bad Days,2009,PG-13,,,,,,,,
No. 2,2008,PG,94 minutes,Comedy,,,,,,
The No. 1 Ladies' Detective Agency,2009,,,Comedy,,,,Anthony Minghella,,
No Country for Old Men,2007,R,122 minutes,Action,,,,Ethan Coen,"Javier Bardem,Josh Brolin","$164,051,250"
No,1999,R,,,,,,,,
No,2013,R,118 minutes,Drama,,,,Pablo Larrain,Gael Garcia Bernal,"$5,265,825"
N.L.L: Yeonpyeong Haejeon,2015,Not Rated,130 minutes,Drama,,,,Kim Hak-Soon,"Jin Goo,Kim Moo-yeol,Lee Wan","$38,324,719"
The Other Side of Heaven,2001,PG,,Drama,,,,,,
The Other One,2015,Not Rated,94 minutes,Drama,,,,Josef Steiff,"Grace McPhillips,Nancy Sellers",
Other People's Money,1991,R,,Comedy,,,,Norman Jewison,,
Other People,2016,Not Rated,96 minutes,Drama,,,,Chris Kelly,"Jesse Plemons,Molly Shannon",
The Other Man: F.W. de Klerk and the End of Apartheid,2015,Not Rated,75 minutes,Documentary,,,,Nicolas Rossier,,
The Other Half,2016,Not Rated,103 minutes,Drama,,,,Joey Klein,"Tatiana Maslany,Tom Cullen",
The Other Man,2009,R,88 minutes,Drama,,,,Richard Eyre,,
The Other End of the Line,2008,PG-13,,Romantic Comedy,,,,James Dodson,,"$507,446"
The Other F Word,2011,Not Rated,98 minutes,Documentary,,,,Andrea Blaugrund Nevins,,
The Other Dream Team,2012,Not Rated,91 minutes,Documentary,,,,Marius Markevicius,,"$314,444"
The Other City,2010,Not Rated,90 minutes,Documentary,,,,Susan Koch,,
The Other Guys,2010,PG-13,97 minutes,Comedy,,,,Adam McKay,"Will Ferrell,Mark Wahlberg","$170,936,470"
Beethoven's Big Break,2008,,,,,,,,,
The Other Boleyn Girl,2008,PG-13,115 minutes,Drama,,,,,Natalie Portman,"$78,269,970"
Beethoven's Treasure Tail,2014,PG,,,,,,,,
Beethoven's 2nd,1993,PG,89 minutes,Comedy,,,,,Charles Grodin,
The Beethoven Project,2016,,,Concert/Performance,,,,,,"$8,671"
Beethoven's Christmas Adventure,2011,PG,,,,,,,,
Beethoven,1992,PG,87 minutes,Comedy,,,,Brian Levant,"Charles Grodin,Bonnie Hunt,Nicholle Tom,Christopher Castile,Sarah Rose Karr",
Beeswax,2009,Not Rated,,Comedy,,,,,,
Beekle,2017,,,Adventure,,,,Jason Reitman,,
Been Rich All My Life,2006,Not Rated,,Documentary,,,,,,
Beed-e majnoon,2007,Not Rated,,Drama,,,,,,
Beerfest,2006,R,110 minutes,Comedy,,,,Jay Chandrasekhar,,"$20,159,316"
Beefcake,1999,Not Rated,,Drama,,,,,,
Beeba Boys,2015,Not Rated,,Thriller/Suspense,,,,Deepa Mehta,,
Beer for My Horses,2008,PG-13,,Comedy,,,,Michael Salomon,Toby Keith,
Marigold,2007,PG-13,,Comedy,,,,,,"$886,341"
Mariette in Ecstasy,1996,,,Drama,,,,John Bailey,,
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2006,PG-13,,Musical,,,,,,"$497,195"
Marie-Francine,2017,,95 minutes,Comedy,,,,Valerie Lemercier,,"$4,540,000"
La mariÃ©e Ã©tait en noir,1968,,107 minutes,Drama,,,,FranÃ§ois Truffaut,Jeanne Moreau,
Marie: A True Story,1985,,,Drama,,,,Roger Donaldson,,
Marie's Story,2015,Not Rated,94 minutes,Drama,,,,Jean Pierre Ameris,"Isabelle Carre,Ariana Rivoire","$65,888"
Marie Antoinette,2006,PG-13,,Drama,,,,Sofia Coppola,Kirsten Dunst,"$60,862,471"
Mariages!,2004,,,,,,,,,"$6,609,909"
The Adventurer: The Curse of the Midas Box,2014,PG,98 minutes,Adventure,,,,Jonathan Newman,"Michael Sheen,Lena Headey,Sam Neill,Aneurin Barnard",
Mariah Careyâ€™s All I Want for Christmas Is You,2017,G,91 minutes,Adventure,,,,Guy Vasilovich,,
Maria Sklodowska Curie,2017,Not Rated,,Drama,,,,Marie Noelle,,"$478,610"
Maria Larssons eviga Ã¶gonblick,2009,Not Rated,131 minutes,,,,,,,"$3,210,825"
Maria Stuarda at La Scala,2008,Not Rated,,Concert/Performance,,,,,,
Peppermint,2018,,,Action,,,,Pierre Morel,Jennifer Garner,
Per un pugno di dollari,1967,R,99 minutes,Western,,,,Sergio Leone,Clint Eastwood,
Per qualche dollaro in piÃ¹,1967,R,132 minutes,Western,,,,Sergio Leone,Clint Eastwood,
Percy Jackson & the Olympians: The Lightning Thief,2010,PG,119 minutes,Adventure,,,,Chris Columbus,Logan Lerman,"$223,050,874"
Percy Jackson: Sea of Monsters,2013,PG,105 minutes,Adventure,,,,Thor Freudenthal,"Logan Lerman,Alexandra Daddario,Douglas Smith,Leven Rambin,Brandon T. Jackson","$200,859,554"
Lezioni di Cioccolato,2007,,,,,,,,,"$3,397,829"
Peppa Pig: The Golden Boots,2014,,15 minutes,Adventure,,,,,,"$557,079"
La Leyenda del Charro Negro,2017,,,Adventure,,,,Alberto Rodriguez,,"$5,365,299"
El Leyton,2003,,,,,,,,,
La ley del deseo,1987,NC-17,,Comedy,,,,Pedro Almodovar,,
An Almost Perfect Affair,1979,,,Romantic Comedy,,,,,Keith Carradine,
La Leyenda de la Nahuala,2007,,86 minutes,,,,,,,"$1,479,685"
Almost Salinas,2003,PG,92 minutes,Comedy,,,,,,
La Leyenda del Chupacabras,2016,PG,81 minutes,Adventure,,,,Alberto Chino Rodriguez,"Eduardo EspaÃ±a,Benny Mendoza,MaytÃ© Cordero","$4,758,094"
Las Leyes de la Termodinamica,2017,,100 minutes,Romantic Comedy,,,,Mateo Gil,,
Almost Home,2014,G,,,,,,,,
Almost Human,2014,Not Rated,80 minutes,Horror,,,,Joe Begos,"Graham Skipper,Vanessa Leigh,Josh Ethier",
Into the Inferno,2016,,104 minutes,Documentary,,,,Werner Herzog,,"$3,668"
Into the Dark: Exploring the Horror Film,2017,,,Documentary,,,,Johanna SalomÃ¤ki,,
Into the Fire,2005,R,,Drama,,,,,,
Into the Grizzly Maze,2015,R,89 minutes,Thriller/Suspense,,,,David Hackl,"James Marsden,Thomas Jane,Piper Perabo,Billy Bob Thornton",
Into the Forest,2016,R,101 minutes,Drama,,,,Patricia Rozema,"Ellen Page,Evan Rachel Wood","$11,303"
Into the Cold: A Journey of the Soul,2013,,,Documentary,,,,Sebastian Copeland,,
Into the Blue 2: The Reef,2009,,,,,,,,,
Hidden Beauty,2009,G,,Documentary,,,,,,
Almost Peaceful,2004,Not Rated,,Drama,,,,,,
Hidden Away,2014,PG-13,,Thriller/Suspense,,,,Peter Sullivan,,
Hidden Agenda,1990,R,,,,,,Ken Loach,,
Hidden,2015,R,84 minutes,Horror,,,,Matt Duffer,,"$310,273"
Hidalgo: La historia jamÃ¡s contada,2010,,115 minutes,Drama,,,,,,"$2,941,672"
Hickey & Boggs,1972,,111 minutes,Thriller/Suspense,,,,,,
Deuces Wild,2002,R,,Drama,,,,,,"$6,244,618"
Hickok,2017,Not Rated,88 minutes,Western,,,,"Timothy Woodward, Jr",Luke Hemsworth,
Hidalgo,2004,PG-13,,Western,,,,Joe Johnston,"Viggo Mortensen,Omar Sharif,Louise Lombard","$108,086,731"
Deuce Bigalow: Male Gigolo,1999,R,88 minutes,Comedy,,,,,,"$92,935,067"
Deuce Bigalow: European Gigolo,2005,R,83 minutes,Comedy,,,,,,"$45,273,464"
Detroit Unleaded,2013,Not Rated,93 minutes,Comedy,,,,Rola Nashef,"E.J. Assi,Nada Shouhayib",
The Good Son,1993,R,,Thriller/Suspense,,,,Joseph Ruben,,
Detropia,2012,Not Rated,93 minutes,Documentary,,,,Heidi Ewing,,"$390,170"
The Good Soldier,2009,Not Rated,,Documentary,,,,,,
Good Posture,2017,,,,,,,Dolly Wells,,
The Good Shepherd,2006,R,160 minutes,Drama,,,,Robert De Niro,Matt Damon,"$99,908,565"
The Good Old Naughty Days,2003,Not Rated,,,,,,,,
Good People,2014,R,90 minutes,Drama,,,,Henrik Ruben Genz,"James Franco,Kate Hudson,Omar Sy,Tom Wilkinson","$988,434"
A Good Old Fashioned Orgy,2011,R,95 minutes,Comedy,,,,Alex Gregory,"Jason Sudeikis,Leslie Bibb,Lake Bell,Michelle Broth,Nick Kroll,Tyler Labine,Lindsay Sloane,Martin Starr",
The Good Night,2007,R,,Romantic Comedy,,,,,"Martin Freeman,Gwyneth Paltrow,PenÃ©lope Cruz",
Good Ol' Freda,2013,PG,86 minutes,Documentary,,,,Bryan White,,
Foo Fighters: Back and Forth,2011,,102 minutes,Concert/Performance,,,,James Moll,,
Food,2016,,,Thriller/Suspense,,,,Daryl Wein,,
Good News,2000,,93 minutes,Romantic Comedy,,,,,,
Fonzo,2016,,,Drama,,,,Josh Trank,Tom Hardy,
"Good Night, and Good Luck",2005,PG,100 minutes,Drama,,,,George Clooney,David Strathairn,"$56,586,901"
Fonzy,2015,Not Rated,103 minutes,Comedy,,,,Isabelle Doval,Jose Garcia,"$174,869"
La Fontaine fait son cinÃ©ma,2016,,40 minutes,Adventure,,,,,,"$1,702"
Fong juk,2007,Not Rated,,Action,,,,,,
Followers,2018,,,Thriller/Suspense,,,,Ryan Justice,,
Followers,2000,Not Rated,87 minutes,Drama,,,,,,
The Follower,2017,,,,,,,,Erika Christensen,
A Fond Kiss,2004,R,,Drama,,,,,,
Fon tok kuen fah,2012,Not Rated,105 minutes,Thriller/Suspense,,,,Pen-Ek Ratanaruang,Nopachai 'Peter' Jayanama,
Following,1999,R,,,,,,Christopher Nolan,,"$240,495"
Chemical Peel,2013,R,,,,,,Hank Braxtan,,
Chemical Cut,2016,,,Drama,,,,Marjorie Conrad,Marjorie Conrad,
The Chemical Brothers: Don't Think,2012,,,Concert/Performance,,,,,,
Cheliyaa,2017,,147 minutes,Drama,,,,Mani Ratnam,,"$6,050"
Helios,2015,,,Action,,,,Lok Man Leung,,"$157,759"
Chelsea Walls,2002,R,,Drama,,,,Ethan Hawke,,
Chelsea on the Rocks,2009,R,,Documentary,,,,,,
Chely Wright: Wish Me Away,2012,Not Rated,96 minutes,Documentary,,,,Beverly Kopf,,
Chef,2017,,133 minutes,Drama,,,,Raja Menon,,"$933,212"
Cheetah,1989,,,Adventure,,,,Jeff Blyth,,
The Cheetah Girls 2,2006,,,,,,,,,
Cheerful Weather for the Wedding,2012,PG,95 minutes,Romantic Comedy,,,,Donald Rice,"Felicity Jones,Elizabeth McGovern","$47,778"
Chef,2014,R,115 minutes,Comedy,,,,Jon Favreau,"Jon Favreau,Sofia Vergara,John Leguizamo,Emjay Anthony","$46,829,309"
Kramer vs. Kramer,1979,PG,105 minutes,Drama,,,,Robert Benton,"Dustin Hoffman,Meryl Streep",
"Krakatoa, East of Java",1969,G,131 minutes,,,,,Bernard L. Kowalski,,
Krabat,2008,,,,,,,,,"$5,000,000"
Krampus,2015,PG-13,98 minutes,Black Comedy,,,,Michael Dougherty,Adam Scott,"$61,788,393"
Koyaanisqatsi,1983,,,,,,,,,
Kraftidioten,2016,R,114 minutes,Action,,,,Hans Petter Moland,Stellan SkarsgÃ¥rd,
Kotu Kedi Åžerafettin,2015,,84 minutes,Adventure,,,,,,"$1,555,531"
Krampus: The Devil Returns,2016,,,Horror,,,,Jason Hull,,
KÃ¶tÃ¼ Ã‡ocuk,2016,,120 minutes,Drama,,,,YaÄŸÄ±z Alp AkaydÄ±n,,"$1,113,494"
Cheeni Kum,2007,Not Rated,,Romantic Comedy,,,,,,"$7,837,674"
"Koski, Senki",2009,Not Rated,,Drama,,,,,,
Kotha Janta,2014,Not Rated,135 minutes,Romantic Comedy,,,,Maruthi,"Allu Sirish,Regina Cassandra",
Koto no ha no niwa,2013,,46 minutes,Drama,,,,Makoto Shinkai,,"$419,327"
Koroshiya 1,2003,Not Rated,129 minutes,Horror,,,,Takashi Miike,"Tadanobu Asano,Nao Omori,Shinya Tsukamoto",
Justice,2017,R,92 minutes,Western,,,,Richard Gabai,,
Justice,2006,,,,,,,,,
Justice,2004,Not Rated,,Comedy,,,,,,
Juste La Fin Du Monde,2016,,97 minutes,Drama,,,,Xavier Dolan,,"$1,262,827"
Just Visiting,2001,PG-13,,Comedy,,,,,,"$16,172,200"
Just the Way You Are,2015,Not Rated,83 minutes,Drama,,,,Theodore Doborol,"Enrique Gil,Liza Soberano","$46,284"
Just the Way You Are,1984,,,Comedy,,,,,,
Just the Ticket,1999,R,,,,,,,,
Just Wright,2010,PG,100 minutes,Romantic Comedy,,,,Sanaa Hamri,,"$21,867,665"
Just the 3 of Us,2016,,121 minutes,Romantic Comedy,,,,Cathy Garcia-Molina,,"$48,979"
Just Tell Me What You Want,1980,,,Romantic Comedy,,,,Sidney Lumet,,
Njandukalude Nattil Oridavela,2017,,131 minutes,Romantic Comedy,,,,Althaf Salim,,"$36,938"
Nixon,1995,R,,Drama,,,,Oliver Stone,Anthony Hopkins,"$34,668,249"
Niwemang,2007,Not Rated,,Comedy,,,,,,
Nitro Rush,2016,Not Rated,96 minutes,Action,,,,Alain DesRochers,Guillaume Lemay-Thivierge,
Nitro,2007,R,90 minutes,Action,,,,,,
Nishi no majo ga shinda,2008,,,,,,,,,"$465,521"
Nishabh,2007,Not Rated,,Drama,,,,,,
Nise: O CoraÃ§Ã£o da Loucura,2017,Not Rated,109 minutes,Drama,,,,Roberto Berliner,Gloria Pires,
Nitro Circus: The Movie 3D,2012,PG-13,85 minutes,Documentary,,,,Gregg Godfrey,,"$4,182,062"
Nintama RantarÅ�,2011,,,,,,,,,"$3,555,453"
The Ninth Day,2005,Not Rated,,Drama,,,,,,
The Ninth Gate,2000,R,132 minutes,Thriller/Suspense,,,,Roman Polanski,Johnny Depp,"$58,394,308"
Othello - RSC Live,2015,,,Concert/Performance,,,,,,"$755,471"
Othello,1955,,91 minutes,,,,,Orson Welles,,
Ã”tez-moi d'un Doute,2017,,100 minutes,Drama,,,,Carine Tardieu,,"$964,108"
Othello,1995,R,,Drama,,,,,,
Otello Met Opera 2015,2015,,,Concert/Performance,,,,,,"$340,647"
Otac na sluzbenom putu,1985,,,Drama,,,,,,
Ã–teki Taraf,2017,,103 minutes,Thriller/Suspense,,,,Ã–zcan Deniz,,"$1,196,347"
Ot vinta 3D,2013,G,,,,,,,,
Oswald's Ghost,2007,Not Rated,,Documentary,,,,,,
Ostwind - Aufbruch nach Ora,2017,,,Adventure,,,,Katja von Garnier,,
Ostrov,2007,,,Drama,,,,,,
The Osterman Weekend,2011,,,Action,,,,,,
Ostwind,2017,,,,,,,Katja von Garnier,,
Ostravak OSTRAVSKÃ�,2016,,,Comedy,,,,David Shay,,"$87,395"
Bee Season,2005,PG-13,,Drama,,,,,Richard Gere,"$4,773,308"
"Bedoune Tarikh, Bedoune Ema",2018,Not Rated,104 minutes,Drama,,,,Vahid Jalilvand,,
Bedlam,2015,R,103 minutes,Horror,,,,Chew Barker,,
The Bedroom Window,1987,,,Thriller/Suspense,,,,Curtis Hanson,Steve Guttenberg,
Bedknobs and Broomsticks,1971,,,Musical,,,,,"Angela Lansbury,David Tomlinson",
Bedrooms and Hallways,1999,Not Rated,,Comedy,,,,,,
Bedeviled,2017,R,91 minutes,Horror,,,,Abel Vang,,"$402,787"
Bee Movie,2007,PG,90 minutes,Adventure,,,,Steve Hickner,"Jerry Seinfeld,RenÃ©e Zellweger","$287,594,577"
Bedtime Stories,2008,PG,99 minutes,Adventure,,,,Adam Shankman,"Adam Sandler,Keri Russell","$221,468,935"
Bed Rest,2017,,,Horror,,,,,,
Bed & Breakfast,1991,,,,,,,Robert Ellis Miller,Roger Moore,
The Bed Sitting Room,1969,PG-13,,,,,,,,
Bed of Roses,1996,PG,,Drama,,,,,"Christian Slater,Mary Stuart Masterson",
Maria Bethania: Music is Perfume,2008,Not Rated,,Documentary,,,,,,
MarÃ­a (y los demÃ¡s),2016,,90 minutes,Drama,,,,Nely Reguera,,"$92,733"
Bedazzled,2000,PG-13,,Comedy,,,,Harold Ramis,,"$90,376,224"
Maria Full of Grace,2004,R,,Drama,,,,,Catalina Sandino Moreno,"$14,441,158"
Marguerite et Julien,2016,Not Rated,105 minutes,Drama,,,,ValÃ©rie Donzelli,"Anais Demoustier,Jeremie Elkaim","$23,722"
Margie Claus,2019,,,Comedy,,,,,,
Margie,1946,,94 minutes,,,,,,,
Marguerite,2016,R,127 minutes,Drama,,,,Xavier Giannoli,"Catherine Frot,Andre Marcon,Michel Fau,Christa ThÃ©ret,Denis Mpunga","$8,852,955"
Margot at the Wedding,2007,R,92 minutes,Drama,,,,Noah Baumbach,Nicole Kidman,"$2,368,218"
Margarita with a Straw,2014,,100 minutes,Drama,,,,,Kalki Koechlin,
Margarita Happy Hour,2002,Not Rated,,,,,,,,
Margaret's Museum,1997,R,116 minutes,Drama,,,,Mort Ransen,Helena Bonham Carter,
Margin Call,2011,R,109 minutes,Drama,,,,J.C. Chandor,"Kevin Spacey,Paul Bettany,Jeremy Irons,Zachary Quinto,Penn Badgley,Simon Baker,Demi Moore,Stanley Tucci","$20,433,227"
Margaret Cho: Assassin,2005,Not Rated,,Comedy,,,,,,
Peppa Pig My First Cinema Experience: Peppa's Australian Holiday,2016,,,Adventure,,,,,,"$6,150,270"
Pepo Pal Senado,2016,R,,Comedy,,,,Raul Garcia,,
Peppa Pig: Around the World,2016,,90 minutes,Adventure,,,,,,"$318,069"
Pepee: Birlik ZamanÄ±,2016,,77 minutes,Adventure,,,,,,"$472,562"
Margaret,2011,R,149 minutes,Drama,,,,Ken Lonergan,Anna Paquin,"$623,292"
Pepe,1960,,,,,,,,,
Pepe Le Moko,2002,Not Rated,,,,,,,,
El Peor Hombre Del Mundo,2016,,90 minutes,Comedy,,,,Edgar Rocca,,$677
Peopleâ€™s Republic of Desire,2017,,,Documentary,,,,Hao Wu,,
People You May Know,2016,Not Rated,101 minutes,,,,,J.C. FalcÃ³n,,
The People's Movie: Arnold's Park,2007,Not Rated,,,,,,,,
The People vs. Larry Flynt,1996,R,,Drama,,,,Milos Forman,,
The People vs. George Lucas,2011,,93 minutes,Documentary,,,,Alexandre O. Philippe,,
Lewis & Clark: Great Journey West,2002,,,,,,,,,"$23,000,000"
Lewis & Clark & George,1997,R,,,,,,,,
Lewis Black: Old Yeller - Live at the Borgata,2014,,,Concert/Performance,,,,,,
Levity,2003,R,,,,,,,Billy Bob Thornton,
Levitated Mass,2014,Not Rated,89 minutes,Documentary,,,,Doug Pray,,
Leviathan,2013,Not Rated,87 minutes,Documentary,,,,Lucien Castaing-Taylor,,
The Levenger Tapes,2016,R,,Horror,,,,Mark Edwin Robinson,,
Leviathan,1989,R,,Horror,,,,George P. Cosmatos,,
Level Up,2012,,,Adventure,,,,,,
Level Up,2016,Not Rated,84 minutes,Thriller/Suspense,,,,Adam Randall,"Joshua Bowman,William Houston,Leila Mimmack",
Der letzte Sommer der Reichen,2014,,,,,,,Peter Kern,,
Leviafan,2014,R,141 minutes,Drama,,,,Andrey Zvyagintsev,Aleksey Serebryakov,"$1,789,203"
The Levelling,2017,R,84 minutes,Drama,,,,Hope Dickson Leach,,"$118,421"
Das letzte Schweigen,2013,Not Rated,118 minutes,Thriller/Suspense,,,,Baran bo Odar,,"$141,819"
Almost Heroes,1998,PG-13,,Comedy,,,,Christopher Guest,,
Almost Heaven,2016,,75 minutes,Documentary,,,,Carol Salter,,"$3,523"
Almost Dead,1994,Not Rated,,Horror,,,,Ruben Preuss,,
Almost Friends,2017,Not Rated,101 minutes,Comedy,,,,Jake Goldberger,"Freddie Highmore,Odeya Rush",
The Almost Guys,2006,PG-13,,Comedy,,,,,,
Almost Famous,2000,R,,Comedy,,,,Cameron Crowe,,"$47,371,191"
Almost An Angel,1990,PG,,Comedy,,,,,,
Almost Amazing,2017,Not Rated,115 minutes,Romantic Comedy,,,,Justin Price,,
Almeida Live: Richard III 2016,2016,,,Concert/Performance,,,,Rupert Goold,"Ralph Fiennes,Vanessa Redgrave","$622,439"
Almost Christmas,2016,PG-13,107 minutes,Drama,,,,David E. Talbert,"Kimberly Elise,Omar Epps,Danny Glover,John Michael Higgins,Romany Malco,Moâ€™Nique,Nicole Ari Parker,J.B. Smoove,Gabrielle Union,Jessie Usher,D.C. Young Fly,Nadej Bailey,Alkoya Brunson,Marley Taylor","$42,493,506"
Alma,2015,,,Romantic Comedy,,,,Diego Rougier,,"$563,381"
Den Allvarsamma Leken,2016,,115 minutes,Drama,,,,Pernilla August,,"$44,255"
Allyson Is Watching,1997,,,Drama,,,,Robert Kubilos,,
Allure,2018,Not Rated,,Thriller/Suspense,,,,Carlos Sanchez,"Evan Rachel Wood,Julia Sarah Stone",
Into the Blue,2005,PG-13,,Adventure,,,,,,"$41,982,227"
Into Temptation,2009,R,,,,,,,,
Into the Arms of Strangers: Stories of the Kindertransport,2000,PG,,Documentary,,,,,,"$470,952"
Intimissimi On Ice,2017,,,Musical,,,,,,"$26,552"
Into the Abyss,2011,PG-13,106 minutes,Documentary,,,,Werner Herzog,,"$550,645"
Into Eternity,2011,Not Rated,,Documentary,,,,,,
Intimate Stories,2005,Not Rated,,Drama,,,,,,
Intimate Relations,1997,,105 minutes,Black Comedy,,,,,,
Intimacy,2001,R,,Drama,,,,,,
Hick,2012,R,95 minutes,Drama,,,,Derick Martini,"ChloÃ« Grace Moretz,Blake Lively,Eddie Redmayne",
Interview with the Assassin,2002,R,82 minutes,Thriller/Suspense,,,,,,
Hickey,2017,Not Rated,85 minutes,Comedy,,,,Alex Grossman,Troy Doherty,
Interview with the Vampire: The Vampire Chronicles,1994,R,123 minutes,Horror,,,,Neil Jordan,Tom Cruise,"$223,564,608"
Hichki,2018,Not Rated,106 minutes,Drama,,,,Siddharth Malhotra,Rani Mukerji,
Hibiscus and Ruthless,2017,,,Comedy,,,,Stallone Vaiaoga-Ioasa,,"$559,569"
The Hi-Lo Country,1998,R,,,,,,Stephen Frears,,
Hi-Life,1998,R,,,,,,,,
Heyanas,2010,R,,Horror,,,,,,
HHhH,2016,R,120 minutes,Thriller/Suspense,,,,Cedric Jimenez,,"$1,586,980"
The Heyday of the Insensitive Bastards,2017,,97 minutes,Multiple Genres,,,,Mark Columbus,,
Hey Jude,2017,,146 minutes,Drama,,,,,,$840
Hey! Ram,2000,Not Rated,,,,,,,,
Heyy Babyy,2007,Not Rated,120 minutes,Comedy,,,,,,"$18,429,951"
"Hey There, It's Yogi Bear",1964,G,89 minutes,Adventure,,,,,,
Detroit Rock City,1999,R,,Comedy,,,,Adam Rifkin,,"$5,825,314"
Detoroito Metaru Shiti,2008,Not Rated,105 minutes,Drama,,,,,,"$18,569,470"
The Detonator,2008,,,,,,,,,
Detour,2013,PG-13,86 minutes,Thriller/Suspense,,,,William Dickerson,,
Detroit 9000,1973,,,,,,,,,
Detki Naprokat,2017,,86 minutes,Comedy,,,,Taisija Igumenseva,,"$51,274"
Detour,2017,R,85 minutes,Thriller/Suspense,,,,Christopher Smith,"Tye Sheridan,Bel Powley,Emory Cohen","$4,059"
Deterrence,2000,R,,Thriller/Suspense,,,,,,"$371,647"
Detective Pikachu,2019,,,Adventure,,,,,Ryan Reynolds,
Detroit,2017,R,143 minutes,Drama,,,,Kathryn Bigelow,"John Boyega,Algee Smith,Jason Mitchell,Anthony Mackie","$21,545,532"
Detention,2012,R,89 minutes,Comedy,,,,Joseph Kahn,Shanley Caswell,
Detective K: Secret of the Lost Island,2015,,,Action,,,,,,"$28,221"
Good Neighbors,2011,R,96 minutes,Thriller/Suspense,,,,Jacob Tierney,"Jay Baruchel,Scott Speedman,Emily Hampshire",
