title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Buttermilk Sky,2012,,,,,,,,,
The Butterfly Tree,2017,,120 minutes,Drama,,,,Priscilla Cameron,,"$3,041"
Butterfly on a Wheel,2007,R,,Drama,,,,Mike Barker,,
The Butterfly Room,2014,Not Rated,87 minutes,Thriller/Suspense,,,,Jonathan Zarantonello,,
Butterfly Kiss,1996,,,Thriller/Suspense,,,,Michael Winterbottom,,
The Butterfly God,2016,,,Drama,,,,Jay Russell,,
"Butterfly Effect 3: Revelations, The",2009,,,,,,,,,
Butterfly Girl,2015,Not Rated,78 minutes,Documentary,,,,Cary Bell,,
The Butterfly Effect 2,2006,,,,,,,,,
The Butterfly Effect,2004,R,114 minutes,Thriller/Suspense,,,,,,"$95,638,592"
Butterfly,2001,Not Rated,,,,,,,,
Butterfly,2010,,,Horror,,,,Edward E. Romero,,
Butterfingers,2019,,,,,,,Barnaby Southcombe,,
BUtterfield 8,1960,Not Rated,109 minutes,,,,,,,
Buttercup Bill,2014,,,Drama,,,,Remy Bennett,,"$6,037"
Buttercup,2011,,,Drama,,,,,,
Mythica: The Necromancer,2016,,,Adventure,,,,,,
Butter,2012,R,90 minutes,Comedy,,,,Jim Field Smith,"Jennifer Garner,Ty Burrell,Olivia Wilde,Rob Corddry,Alicia Silverstone,Hugh Jackman","$104,706"
Mythica: the Darkspore,2016,,108 minutes,Adventure,,,,,"Melanie Stone,Kevin Sorbo",
Myth of the American Sleepover,2011,Not Rated,96 minutes,Drama,,,,David Robert Mitchell,"Marlon Morton,Amanda Bauer,Claire Sloma,Brett Jacobsen,Jade Ramsey,Nikita Ramsey",
The Myth of Fingerprints,1997,R,,,,,,,,
Mystic Pizza,1988,R,,Comedy,,,,Donald Petrie,Julia Roberts,
The Mystic Masseur,2002,PG,,,,,,,,
The Butcher's Wife,1991,PG-13,,Comedy,,,,,"Demi Moore,Jeff Daniels,George Dzundza",
Butcher Boys,2013,R,88 minutes,Horror,,,,,Ali Faulkner,
Mystic River,2003,R,137 minutes,Drama,,,,Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon","$156,822,020"
The Butcher Boy,1998,R,,Drama,,,,Neil Jordan,,
Butch Cassidy and the Sundance Kid,1969,PG,112 minutes,Western,,,,George Roy Hill,"Paul Newman,Robert Redford",
Butch and Sundance: The Early Days,1979,,,Western,,,,,,
Lee Daniels' The Butler,2013,PG-13,132 minutes,Drama,,,,Lee Daniels,Forest Whitaker,"$177,025,498"
But I'm a Cheerleader,2000,R,,Comedy,,,,,,"$2,509,344"
But Deliver Us From Evil,2018,Not Rated,119 minutes,Horror,,,,Joshua Coates,,
Bustin' Loose,1981,,,Comedy,,,,,,
A Busy Night,2016,Not Rated,91 minutes,Comedy,,,,Li Wang,,"$1,160,000"
Bustin' Down the Door,2008,Not Rated,,Documentary,,,,,Edward Norton,
Bustin' Bonaparte,2005,,,,,,,,,
Busterâ€™s Mal Heart,2017,Not Rated,96 minutes,Thriller/Suspense,,,,Sarah Adina Smith,Rami Malek,
Mystery Train,1989,,,Comedy,,,,Jim Jarmusch,,
Buster,1988,,,Comedy,,,,,,
Mystery of the Nile,2005,,,Documentary,,,,,,
Mystery Science Theatre 3000,1996,PG-13,,Comedy,,,,,,
Mystery Date,1991,PG-13,,Comedy,,,,,,
Mystery Team,2009,R,,Comedy,,,,Dan Eckman,,
Mystery Men,1999,PG-13,121 minutes,Comedy,,,,,Ben Stiller,"$33,462,011"
Mysterious Ways,2015,,,Drama,,,,Dan Garcia,,
Mysterious Skin,2005,Open,,Drama,,,,Gregg Araki,,"$2,148,548"
"Mystery, Alaska",1999,R,119 minutes,Comedy,,,,Jay Roach,"Russell Crowe,Hank Azaria,Mary McCormack,Lolita Davidovich,Ron Eldard,Colm Meaney,Maury Chaykin,Burt Reynolds",
Mysteries of the Unseen World,2013,,,Documentary,,,,,,"$332,944"
The Mysteries of Pittsburgh,2009,R,,Drama,,,,Rawson Marshall Thurber,,
Mysteria,2011,,,,,,,Lucius C. Kuert,,
Le mystÃ¨re Picasso,1957,,78 minutes,Documentary,,,,,,
Myra Breckinridge,1970,,,,,,,,,
Busted,2013,R,,,,,,,,
Mysteries of Egypt,1998,Not Rated,,Documentary,,,,,"Omar Sharif,Kate Maberly","$90,000,000"
The Business of Strangers,2001,R,,Drama,,,,,,"$1,290,920"
The Business of Fancy Dancing,2002,Not Rated,,Drama,,,,,,
The Business of Being Born,2008,Not Rated,,Documentary,,,,,Ricki Lake,
The Business of Amateurs,2017,,,Documentary,,,,Bob DeMars,,
A Business Affair,1995,R,,Comedy,,,,,,
Bushwick,2017,,104 minutes,Thriller/Suspense,,,,Cary Murnion,"Brittany Snow,Dave Bautista",$42
Bushwhacked,1995,PG-13,,Comedy,,,,,,
Bushido Man: Seven Deadly Battles,2014,,,Action,,,,Takanori Tsujimoto,,
Bush's Brain,2004,PG-13,,Documentary,,,,,,
Bushi no ichibun,2007,Not Rated,,Drama,,,,,,"$24,724,488"
Buscando un SueÃ±o,1997,,,Drama,,,,,,
Busco Novio Para Mi Mujer,2016,PG-13,92 minutes,Romantic Comedy,,,,Enrique Begne,"Sandra Echeverria,Arath De La Torre","$4,585,393"
Mykyta kozhumyaka,2016,,85 minutes,Adventure,,,,,,"$803,043"
Busanhaeng,2016,Not Rated,118 minutes,Horror,,,,Sang-ho Yeon,Yoo Gong,"$98,458,103"
Myeong-ryang,2014,Not Rated,127 minutes,Action,,,,Han-Min Kim,Choi Min-sik,"$133,450,917"
Myeoneuri: My Son's Crazy Wife,2017,,80 minutes,Documentary,,,,,,"$142,736"
My Year Without Sex,2010,Not Rated,,Comedy,,,,,,
My Year With Helen,2017,,93 minutes,Documentary,,,,Gaylene Preston,,"$199,226"
My Winnipeg,2008,Not Rated,,Documentary,,,,,,
My Wife Maurice,2004,Not Rated,,Comedy,,,,,,
My Wife is an Actress (Ma Femme est une Actrice),2002,R,,Comedy,,,,,,
My Wife is a Superstar,2015,,,Romantic Comedy,,,,Shirley Yung Sau-Lau,,"$200,000"
My War,2016,,,Drama,,,,Oxide Pang Chun,,"$5,110,000"
My Voyage to Italy,2001,PG-13,,,,,,,,
My Week with Marilyn,2011,R,99 minutes,Drama,,,,Simon Curtis,Michelle Williams,"$34,240,572"
My Tutor Friend 2,2007,,,,,,,,,"$2,952,412"
Bus Stop,1956,,96 minutes,Comedy,,,,,,
My Uncle Rafael,2012,PG-13,103 minutes,Comedy,,,,Marc Fusco,"Vahik Pirhamzei,John Michael Higgins,Missi Pyle,Anthony Clark,Joe Lo Truglio,Rachel Blanchard",
