id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2634,Prom,2011,PG,103 minutes,Comedy,,,,Joe Nessbaum,"Aimee Teegarden,Thomas McDonell,De'Vaughn Nixon,Danielle Campbell,Yin Chang,Jared Kusnitz,Nolan Sotillo,Cameron Monaghan,Kylie Bunbury,Joe Adler,Janelle Ortiz,Jonathan Keltz,Nicholas Braun,Raini Rodriguez","$10,763,183"
2635,Project X,2012,R,87 minutes,Comedy,,,,Nima Nourizadeh,"Thomas Mann,Oliver Cooper,Jonathan Brown","$103,028,188"
2636,Project A,2011,,,Comedy,,,,,,
2637,Project Eden: Vol. 1,2018,Not Rated,95 minutes,Thriller/Suspense,,,,Ashlee Jensen,"Emily Fradenburgh,Mike Dopud,Cliff Simon,Erick Avari",
2638,Project Jay,2006,,,Documentary,,,,Michael Selditch,,
2639,Lunch with Archer King,2018,,,Documentary,,,,Eric Mache,,
2640,Lunch Lady,2012,,,Comedy,,,,,,
2641,Lunarcy!,2013,Not Rated,80 minutes,Documentary,,,,Simon Ennis,,
2642,Project Nim,2011,PG-13,93 minutes,Documentary,,,,James Marsh,,"$1,583,533"
2643,Project Almanac,2015,PG-13,106 minutes,Adventure,,,,Dean Israelite,"Jonny Weston,Sofia Black-D'Elia,Sam Lerner,Allen Evangelista,Ginny Gardner","$32,909,437"
2644,Luna Papa,2001,Not Rated,,,,,,,,
2645,Luna,1979,,,,,,,Bernardo Bertolucci,,
2646,Luna,2014,,,Drama,,,,Dave McKean,,
2647,Lunacy,2006,Not Rated,,,,,,,,
2648,Lump of Sugar,2006,,,,,,,,,"$5,641,862"
2649,Lumumba,2001,Not Rated,,Drama,,,,,,
2650,Luminous Motion,2000,Not Rated,,,,,,,,
2651,Luminarias,2000,R,,Comedy,,,,,,
2652,LumiÃ¨re!,2016,,90 minutes,Documentary,,,,Thierry FrÃ©maux,,"$4,382"
2653,At Berkeley,2013,Not Rated,244 minutes,Documentary,,,,Frederick Wiseman,,
2654,Asylum,2015,R,93 minutes,Horror,,,,Todor Chapkanov,,
2655,At Any Price,2013,R,,Drama,,,,Ramin Bahrani,,"$380,308"
2656,Asu Mare,2013,,,Comedy,,,,,,"$8,350,544"
2657,Asylum,2005,R,,Thriller/Suspense,,,,,,"$547,807"
2658,Asura : The City of Madness,2016,Not Rated,136 minutes,Action,,,,Sung-soo Kim,Jung Woo-sung,"$18,162,275"
2659,The Astronaut's Wife,1999,R,109 minutes,Thriller/Suspense,,,,Rand Ravich,"Johnny Depp,Charlize Theron",
2660,The Astronaut Farmer,2007,PG,104 minutes,Drama,,,,Mark Polish,Billy Bob Thornton,"$11,141,213"
2661,Astronaut,2018,,,Drama,,,,Shelagh McLeod,,
2662,The Astro Zombies,2016,,,Horror,,,,Ted V. Mikels,,
2663,Astro,2017,,,Action,,,,Asif Akbar,,
2664,Astral,2016,,,Documentary,,,,Jordi Ã‰vole,,"$59,112"
2665,Dying on the Edge,2001,,,,,,,William R. Greenblatt,,
2666,Astro Boy,2009,PG,100 minutes,Adventure,,,,David Bowers,Freddie Highmore,"$41,636,243"
2667,The Dying of the Light,2016,Not Rated,94 minutes,Documentary,,,,Peter Flynn,,
2668,Dying Laughing,2017,Not Rated,87 minutes,Documentary,,,,Lloyd Stanton,,
2669,A Dying King: The Shah of Iran,2017,Not Rated,85 minutes,Documentary,,,,Bobak Kalhor,,
2670,Dying of the Light,2014,R,95 minutes,Thriller/Suspense,,,,Paul Schrader,Nicolas Cage,
2671,Dying God,2008,R,85 minutes,Horror,,,,,,
2672,Dying in Vein: The Opiate Generation,2017,,,Documentary,,,,Jenny Mackenzie,,
2673,The Dying Gaul,2005,R,,Drama,,,,,,
2674,Dwegons and Leprechauns,2014,PG,98 minutes,Adventure,,,,Tom Walsh,"Melissa Leo,Maggie Wheeler,Joey D. Vieira,Thomas Francis Walsh III",
2675,Cops and Robbers,2017,R,,Action,,,,Scott Windhauser,,
2676,La Coppia dei Campioni,2016,,88 minutes,Comedy,,,,Giulio Base,,"$452,661"
2677,Copie conforme,2011,Not Rated,106 minutes,Drama,,,,Abbas Kiarostami,"Juliette Binoche,James Shimell","$5,455,736"
2678,Copenhagen,2014,,98 minutes,Drama,,,,Mark Raso,"Gethin Anthony,Frederikke Dahl Hansen",
2679,Cop War,2018,,,Thriller/Suspense,,,,Sheldon Lettich,,
2680,Copperhead,2013,PG-13,118 minutes,Drama,,,,Ron Maxwell,Billy Campbell,
2681,"Cop, the Criminal and the Clown, The",2007,Not Rated,,Comedy,,,,,,
2682,Cop Out,2010,R,107 minutes,Comedy,,,,Kevin Smith,"Bruce Willis,Tracy Morgan","$55,909,910"
2683,Cop Land,1997,R,104 minutes,Drama,,,,James Mangold,"Sylvester Stallone,Harvey Keitel,Ray Liotta,Robert De Niro","$63,706,632"
2684,Cop Dog,2009,PG,,,,,,,,
2685,Cop and a Half: New Recruit,2017,PG,97 minutes,Adventure,,,,Jonathan Rosenbaum,,
2686,Cop and ½,1993,PG,,Comedy,,,,,,
2687,Cop Car,2015,R,88 minutes,Thriller/Suspense,,,,Jon Watts,"Kevin Bacon,James Freedson-Jackson,Hays Welford","$143,658"
2688,Cop,1988,,,,,,,,,
2689,Blue Thunder,1983,R,,Action,,,,John Badham,,
2690,Blue Steel,1990,,,Action,,,,Kathryn Bigelow,,
2691,Blue State,2008,,,Romantic Comedy,,,,,"Breckin Meyer,Anna Paquin",
2692,Blue Sky,1994,PG-13,,Drama,,,,,,
2693,Blue Streak,1999,PG-13,,Action,,,,Les Mayfield,,"$117,448,157"
2694,Blue Skies,1946,,104 minutes,Musical,,,,,,
2695,Blue River,1995,Not Rated,,Drama,,,,Larry Elikann,,
2696,Blue Skies Again,1983,,,Comedy,,,,,,
2697,Blue Ruin,2014,R,92 minutes,Thriller/Suspense,,,,Jeremy Saulnier,Macon Blair,"$435,168"
2698,The Missionaries,2016,,,,,,,Tonie Marshall,,
2699,The Blue Max,1966,,,,,,,John Guillermin,,
2700,Blue Mountain State: The Rise of Thadland,2016,R,,Comedy,,,,Lev L Spiro,,
2701,Blue Moon,2000,PG-13,,Comedy,,,,,,
2702,Missionary,2014,R,90 minutes,Thriller/Suspense,,,,Anthony DiBlasi,Kip Pardue,
2703,Missionary Man,2008,,,Action,,,,,Dolph Lundgren,
2704,Blue Planet,1990,,,Documentary,,,,,,"$155,016"
2705,Mission to Mars,2000,PG,,Adventure,,,,Brian De Palma,,"$106,000,000"
2706,Mission Park,2013,R,101 minutes,Thriller/Suspense,,,,Bryan Ramirez,,
2707,The Mission,1986,PG,125 minutes,Drama,,,,Roland Joffe,Robert De Niro,"$17,382,025"
2708,Mission Milano,2016,,102 minutes,Action,,,,Wong Jing,,"$38,422,651"
2709,Mission Istaanbul,2008,Not Rated,,Adventure,,,,,,"$2,997,278"
2710,La Mission,2010,R,117 minutes,Drama,,,,,,
