id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
13541,Open Season,1996,PG,,,,,,Robert Wuhl,,
13542,Night at the Museum: Secret of the Tomb,2014,PG,97 minutes,Adventure,,,,Shawn Levy,"Ben Stiller,Robin Williams,Owen Wilson,Dan Stevens,Ben Kingsley,Steve Coogan,Ricky Gervais,Rebel Wilson,Skyler Gisondo,Rami Malek,Patrick Gallagher,Mizuo Peck","$356,546,621"
13543,Night at the Museum: Battle of the Smithsonian,2009,PG,105 minutes,Adventure,,,,Shawn Levy,"Ben Stiller,Amy Adams,Owen Wilson,Hank Azaria,Robin Williams,Christopher Guest,Alain Chabat,Steve Coogan,Bill Hader,Jon Bernthal,Mizuo Peck,Patrick Gallagher","$402,231,063"
13544,The Open Road,2009,PG-13,,Drama,,,,Michael Meredith,"Jeff Bridges,Justin Timberlake",
13545,Night at the Museum,2006,PG,108 minutes,Adventure,,,,Shawn Levy,"Ben Stiller,Robin Williams,Mizuo Peck,Patrick Gallagher","$579,446,407"
13546,Open Road,2013,,,Thriller/Suspense,,,,Marcio Garcia,,"$47,469"
13547,Open Season,2006,PG,86 minutes,Adventure,,,,Jill Culton,"Martin Lawrence,Ashton Kutcher","$191,932,158"
13548,Open Range,2003,R,,Western,,,,Kevin Costner,"Kevin Costner,Annette Bening,Abraham Benrubi,Robert Duvall","$68,613,992"
13549,Open My Heart,2004,Not Rated,,Drama,,,,,,
13550,The Man Who Could Cheat Death,2011,,83 minutes,Horror,,,,Terence Fisher,,
13551,The Man Who Crossed Hitler,2015,Not Rated,,Drama,,,,Justin Hardy,,
13552,Xue Zhan Xiang Jiang,2017,,90 minutes,Drama,,,,Li Chen,,"$9,400,000"
13553,The Man Who Came Back,2008,,,Western,,,,,,
13554,The Man Who Bought Mustique,2001,,78 minutes,Documentary,,,,,,
13555,The Man Who Copied,2005,R,,Drama,,,,,,
13556,The Man Who Cried,2001,R,100 minutes,Drama,,,,Sally Potter,"Christina Ricci,Cate Blanchett,John Turturro,Johnny Depp","$1,790,840"
13557,Man Vs.,2015,Not Rated,85 minutes,Thriller/Suspense,,,,Adam Massey,Chris Diamantopoulos,
13558,Man Trouble,1992,PG-13,,,,,,Bob Rafelson,Jack Nicholson,
13559,Man Up,2015,R,87 minutes,Romantic Comedy,,,,Ben Palmer,"Simon Pegg,Lake Bell","$2,996,953"
13560,Man-Thing,2005,R,,,,,,Brett Leonard,,
13561,Patient Zero,2018,R,,Action,,,,Stefan Ruzowitzky,,
13562,Patient Seventeen,2017,,70 minutes,Documentary,,,,Jeremy Kenyon Lockyer Corbell,,
13563,Man Underground,2017,Not Rated,95 minutes,Drama,,,,Michael Borowiec,,
13564,The Man,2005,PG-13,78 minutes,Comedy,,,,Les Mayfield,"Samuel L. Jackson,Eugene Levy","$10,393,696"
13565,Patience (After Sebald),2012,,84 minutes,Documentary,,,,Grant Gee,,
13566,Pathfinders: In the Company of Strangers,2013,,,Action,,,,,,
13567,Patiala House,2011,Not Rated,147 minutes,Drama,,,,,,"$5,740,505"
13568,The Pathological Optimist,2017,Not Rated,93 minutes,Documentary,,,,Miranda Bailey,,
13569,Pather Panchali,1958,Not Rated,126 minutes,Drama,,,,Satyajit Ray,"Kanu Banerjee,Karuna Banerjee,Subir Banerjee",
13570,Pathemari,2015,,,Drama,,,,Salim Ahmed,,"$5,933"
13571,Pathfinder,2007,R,99 minutes,Action,,,,,Karl Urban,"$30,822,861"
13572,Pathology,2008,R,,Thriller/Suspense,,,,,Milo Ventimiglia,"$3,270,974"
13573,Paterson,2016,R,118 minutes,Comedy,,,,Jim Jarmusch,"Adam Driver,Goldshifteh Farahani","$10,762,654"
13574,Patchwork,2017,,,,,,,Tyler MacIntyre,,
13575,Patel Ki Punjabi Shaadi,2017,,120 minutes,Comedy,,,,Sanjay Chhel,,"$266,670"
13576,Paternity,1981,,,,,,,,,
13577,A Patch of Fog,2015,Not Rated,,Drama,,,,Michael Lennox,,
13578,Patch Town,2015,Not Rated,85 minutes,Adventure,,,,Craig Goodwill,Julian Richings,
13579,The Legends of Nethiah,2012,,,,,,,Russ Emanuel,Jeremiah Sayys,
13580,Legends of Flight,2011,,,Documentary,,,,,,
13581,Legends from the Sky,2015,PG,90 minutes,Drama,,,,Travis Holt Hamilton,Edsel Pete,
13582,Legendary: Tomb of the Dragon,2013,PG-13,,Action,,,,Eric Styles,,
13583,Legendary Amazons,2012,,108 minutes,Action,,,,Frankie Chan,,"$5,959,716"
13584,Legendary,2010,PG-13,107 minutes,Drama,,,,Mel Damski,"John Cena,Patricia Clarkson,Danny Glover",
13585,Legenda No. 17,2013,,,Drama,,,,,,"$27,014,935"
13586,Legends of Oz: Dorothyâ€™s Return,2014,PG,88 minutes,Adventure,,,,Will Finn,Lea Michele,"$20,107,933"
13587,Legend of the Sea,2011,PG,,,,,,,,
13588,The Legend of Wasco,2015,Not Rated,,Horror,,,,Shane Beasley,,
13589,Legend Of The Moles-The Magic Train Adventure,2016,,86 minutes,Adventure,,,,Li Tingting,,"$1,520,000"
13590,Legend of the Lost,1957,,,Western,,,,Henry Hathaway,,
13591,The Legend of Zorro,2005,PG,126 minutes,Adventure,,,,Martin Campbell,"Antonio Banderas,Catherine Zeta-Jones","$141,475,336"
13592,The Legend of the Lone Ranger,1981,PG,100 minutes,Western,,,,,,
13593,Alien Abduction,2014,Not Rated,86 minutes,Thriller/Suspense,,,,Matty Beckerman,,
13594,Legend of the Guardians: The Owls of Ga'Hoole,2010,PG,90 minutes,Adventure,,,,Zack Snyder,"Jim Sturgess,Emily Barclay,Anthony LaPaglia,Adrienne de Faria,David Wenham","$139,716,717"
13595,Alien 3,1992,R,,Action,,,,David Fincher,Sigourney Weaver,"$158,500,000"
13596,Alice's Restaurant,1969,,,Comedy,,,,Arthur Penn,,
13597,Alice's Adventures in Wonderland,2011,,120 minutes,Concert/Performance,,,,,,
13598,Alien,1979,R,117 minutes,Horror,,,,Ridley Scott,"Tom Skerritt,Sigourney Weaver","$203,630,630"
13599,Alice + Freda Forever,2016,,,Drama,,,,Jennifer Kent,,
13600,Alice in Wonderland,2010,,,Adventure,,,,,,
13601,Alice Neel,2007,Not Rated,,,,,,,,
13602,Alien Adventure,2000,Not Rated,,Adventure,,,,,,"$20,427,678"
13603,Alice in Wonderland,1951,,75 minutes,Musical,,,,,,
13604,Alice et Martin,2000,R,,Drama,,,,Andre Techine,,
13605,Alice Through the Looking Glass,2016,PG,113 minutes,Adventure,,,,James Bobin,"Johnny Depp,Anne Hathaway,Mia Wasikowska,Helena Bonham Carter,Sacha Baron Cohen","$277,442,381"
13606,Alice Doesn't Live Here Anymore,1975,,,Drama,,,,Martin Scorsese,"Kris Kristofferson,Ellen Burstyn",
13607,Alice D,2016,,,Horror,,,,Jessica Sonneborn,,
13608,Alice in Wonderland,2010,PG,108 minutes,Adventure,,,,Tim Burton,"Johnny Depp,Alan Rickman","$1,025,491,110"
13609,El Infierno,2010,NC-17,145 minutes,Black Comedy,,,,,,"$6,703,873"
13610,Les Infideles,2014,R,107 minutes,Comedy,,,,Jean Dujardin,"Jean Dujardin,Gilles Lellouche",
13611,Infected,2012,R,,Horror,,,,Glenn Ciano,,
13612,Infected,2009,R,,,,,,,,
13613,Infancia clandestina,2013,Not Rated,110 minutes,Drama,,,,Benjamin Avila,"Natalia Oreiro,Ernesto Alterio,Cesar Troncoso","$1,150,121"
13614,The Infiltrator,2016,R,127 minutes,Thriller/Suspense,,,,Brad Furman,Bryan Cranston,"$18,329,653"
13615,Infamous,2006,R,,Drama,,,,,"Toby Jones,Sigourney Weaver","$2,613,717"
13616,Inferno,2016,PG-13,121 minutes,Thriller/Suspense,,,,Ron Howard,"Tom Hanks,Felicity Jones,Irrfan Khan,Omar Sy,Ben Foster,Sidse Babett Knudsen","$219,561,188"
13617,Inescapable,2013,R,93 minutes,Thriller/Suspense,,,,Ruba Nadda,"Alexander Siddig,Marisa Tomei,Joshua Jackson",
13618,Inertia,2016,,,Thriller/Suspense,,,,Campbell Maynes,,
13619,The Inevitable Defeat of Mister and Pete,2013,R,108 minutes,Drama,,,,"George Tillman, Jr","Skylan Brooks,Ethan Dizon",
13620,Indu Sarkar,2017,,139 minutes,Thriller/Suspense,,,,Madhur Bhandarkar,,"$770,248"
13621,Inequality for All,2013,PG,85 minutes,Documentary,,,,Jacob Kornbluth,Robert Reich,"$1,225,769"
13622,Hellhole,2016,,,,,,,Pierre De Moro,,
13623,Hellions,2015,Not Rated,82 minutes,Horror,,,,Bruce McDonald,Chloe Rose,
13624,Hellion,2014,R,98 minutes,Drama,,,,Kat Candler,"Aaron Paul,Josh Wiggins",
13625,Hellfighters,2015,G,121 minutes,Action,,,,Andrew V. McLaglen,John Wayne,
13626,Hellfest,2018,,,Horror,,,,Gregory Plotkin,,
13627,De Helleveeg,2015,,,Drama,,,,Andre van Duren,,"$326,189"
13628,Indrajith,2017,,116 minutes,Action,,,,Kalaprabhu Thanu,,"$3,628"
13629,Hellcatâ€™s Revenge,2018,,120 minutes,Action,,,,Len Kabasinski,,
13630,Hellbinders,2010,R,,,,,,,,
13631,Hellbent,2005,R,,Horror,,,,,,
13632,Hellbound?,2012,Not Rated,85 minutes,Documentary,,,,Kevin Miller,,
13633,Hellbenders,2013,R,85 minutes,Comedy,,,,J.T. Petty,"Clifton Collins, Jr.,Clancy Brown,Robyn Rikoon",
13634,Hellboy,2019,,,Horror,,,,Neil Marshall,,
13635,Hellacious Acres: The Case of John Glass,2012,,99 minutes,Black Comedy,,,,,,
13636,Hellboy II: The Golden Army,2008,PG-13,120 minutes,Action,,,,Guillermo del Toro,Ron Perlman,"$160,388,063"
13637,Hellboy,2004,PG-13,,Action,,,,Guillermo del Toro,,"$99,823,958"
13638,Demolition University,1997,,,Action,,,,,Todd Allen,
13639,The Demolisher,2016,,,Action,,,,Gabriel Carrer,,
13640,Les Demoiselles de Rochefort,2002,G,125 minutes,,,,,Jacques Demy,,"$4,613"
13641,Demolition Man,1993,R,,Action,,,,,"Sylvester Stallone,Sandra Bullock,Wesley Snipes","$159,055,768"
13642,Demon,2016,R,94 minutes,Horror,,,,Marcin Wrona,Itay Tiran,
13643,Demolition,2016,R,101 minutes,Drama,,,,Jean-Marc Vallee,Jake Gyllenhaal,"$4,124,315"
13644,La Demoiselle d'honneur,2006,Not Rated,,Thriller/Suspense,,,,,,
13645,Demi-Soeur,2014,Not Rated,86 minutes,Comedy,,,,Josiane Balasko,"Michel Blanc,Josiane Balasko",
13646,Dementia 13,2017,,83 minutes,Horror,,,,Richard LeMay,,
13647,Demetrius and the Gladiators,1954,,101 minutes,,,,,,,"$26,008,948"
13648,The Demented,2012,R,,Horror,,,,,,
13649,Demented,2012,,,,,,,Arthur Jeffreys,,
13650,Los DemÃ¡s DÃ­as,2017,,95 minutes,Documentary,,,,Carlos Agullo,,"$7,948"
13651,Dementia,2015,Not Rated,90 minutes,Horror,,,,Mike Testin,Gene Jones,
13652,Demandez la Permission aux Enfants,2007,,,,,,,,,"$2,292,298"
13653,Demain Tout Commence,2016,,118 minutes,Comedy,,,,Hugo GÃ©lin,,"$32,807,028"
13654,Gogol: Nachalo,2017,,107 minutes,Adventure,,,,Egor Baranov,,"$7,718,283"
13655,Goin South,1978,PG,105 minutes,Comedy,,,,Jack Nicholson,,
13656,Goguryeo,2017,,94 minutes,Documentary,,,,,,"$75,352"
13657,Gog,1954,,85 minutes,Multiple Genres,,,,Herbert Strock,,
13658,Gogol Bordello Non-Stop,2009,Not Rated,,,,,,,,
13659,Going All the Way,1997,R,,,,,,,Ben Affleck,
13660,Das Goebbels-Experiment,2005,Not Rated,,Documentary,,,,,,
13661,Godzilla: King of the Monsters,1956,,80 minutes,,,,,,,
13662,Godzilla: King of the Monsters,2019,,,Action,,,,Michael Dougherty,,
13663,Godzilla Vs. Kong,2020,,,Action,,,,,,
13664,Flaming Star,1960,,92 minutes,,,,,,,
13665,Godzilla 2000,2000,PG,,Action,,,,Takao Okawara,,
13666,Flamenco,1997,,,,,,,,,
13667,"Flamenco, Flamenco",2011,Not Rated,90 minutes,Documentary,,,,Carlos Saura,,"$72,783"
13668,Flakes,2007,Not Rated,,Comedy,,,,Michael Lehmann,,
13669,Flag Day,2017,,,Drama,,,,Sean Penn,,
13670,The Flag,2016,,,Comedy,,,,Declan Recks,,"$11,241"
13671,F(l)ag Football,2017,Not Rated,94 minutes,Documentary,,,,Seth Greenleaf,,
13672,Fiza,2000,Not Rated,,Drama,,,,,,"$1,179,462"
13673,Fixing Pete,2011,,,Romantic Comedy,,,,Michael Grossman,,
13674,Fixed Bayonets!,1951,,92 minutes,Action,,,,Sam Fuller,,
13675,Flags of Our Fathers,2006,R,132 minutes,Drama,,,,Clint Eastwood,"Ryan Phillippe,Jesse Bradford,Adam Beach","$63,657,941"
13676,Fix,2009,R,,,,,,,,
13677,Five Thirteen,2013,R,,Drama,,,,Kader Ayd,,
13678,La chambre des magiciennes,2001,Not Rated,,Drama,,,,,,
13679,"Five Wives, Three Secretaries and Me",1999,,,,,,,,,
13680,The Chamber,2018,,88 minutes,Thriller/Suspense,,,,Ben Parker,,
13681,Chamak,2017,,155 minutes,Romantic Comedy,,,,,,"$7,026"
13682,La chambre bleue,2014,R,75 minutes,Thriller/Suspense,,,,Mathieu Amalric,,"$1,945,420"
13683,The Chamber,1996,R,,Drama,,,,James Foley,,
13684,The Five-Year Engagement,2012,R,124 minutes,Romantic Comedy,,,,Nicholas Stoller,"Jason Segel,Emily Blunt","$61,623,819"
13685,Chalo Dilli,2011,Not Rated,,,,,,,,"$1,286,011"
13686,Challenger,2011,,,Drama,,,,,,
13687,Chalo,2017,,155 minutes,Comedy,,,,Venky Kudumula,,"$24,437"
13688,The Challenger,2015,PG-13,94 minutes,Action,,,,Kent Moran,Kent Moran,
13689,The Challenge,2017,Not Rated,69 minutes,Documentary,,,,Yuri Ancarani,,
13690,The Challenge,1982,,,Action,,,,John Frankenheimer,,
13691,Chalk,2007,PG-13,,,,,,,,
13692,Chalet Girl,2011,R,96 minutes,Romantic Comedy,,,,Phil Traill,"Felicity Jones,Ed Westwick","$1,779,617"
13693,Chal Mere Bhai,2000,Not Rated,,Romantic Comedy,,,,,,
13694,Kiss of a Stranger,1999,,,Thriller/Suspense,,,,Sam Irvin,,
13695,Kiss Me Kate,2003,,109 minutes,,,,,George Sidney,,
13696,Chal Man Jeetva Jaiye,2017,,123 minutes,Drama,,,,Krishna Bhardwaj,,"$11,677"
13697,"Kiss Me, Guido",1997,R,,Comedy,,,,,,
13698,Kiss of Death,1995,R,138 minutes,Drama,,,,Barbet Schroeder,"David Caruso,Samuel L. Jackson,Nicolas Cage",
13699,Kiss Me Goodbye,1982,,,Comedy,,,,,,
13700,Kiss Me Deadly,2008,R,,,,,,,,
13701,A Kiss Before Dying,2002,,94 minutes,Thriller/Suspense,,,,Gerd Oswald,,
13702,Kiss and Tell,1997,,,,,,,,,
13703,Kisna,2005,Not Rated,,Drama,,,,,,
13704,A Kiss Before Dying,1991,R,,Thriller/Suspense,,,,,Matt Dillon,
13705,"Kiss Kiss, Bang Bang",2005,R,102 minutes,Comedy,,,,Shane Black,"Robert Downey, Jr.,Val Kilmer,Michelle Monaghan","$16,829,464"
13706,Joy of Sex,1984,,,Comedy,,,,Martha Coolidge,,
13707,Kismat Konnection,2008,Not Rated,,Romantic Comedy,,,,,"Shahid Kapoor,Vidya Balan","$10,903,927"
13708,Joy De V,2016,,,,,,,Nadia Szold,,
13709,The Joy Luck Club,1993,R,139 minutes,Drama,,,,Wayne Wang,,
13710,Jours de France,2017,Not Rated,137 minutes,Drama,,,,,,
13711,Joven y alocada,2012,Not Rated,94 minutes,Drama,,,,Marialy Rivas,Alicia Luz Rodriguez,"$206,137"
13712,Journey With George,2003,Not Rated,,,,,,,,
13713,Journeyâ€™s End,2018,R,,Drama,,,,Saul Dibb,,"$677,025"
13714,Journey to the Sun,2001,Not Rated,104 minutes,Drama,,,,,,
13715,Journey to the Seventh Planet,2016,,,Adventure,,,,Sidney W Pink,,
13716,Joy,2015,PG-13,124 minutes,Drama,,,,David O. Russell,"Jennifer Lawrence,Robert De Niro,Bradley Cooper","$101,134,059"
13717,Journey to the End of the Night,2007,R,,Drama,,,,,,
13718,Night Angel,1990,,,,,,,Dominique Othenin-Girard,,
13719,Night and the City,1950,Not Rated,95 minutes,Thriller/Suspense,,,,Jules Dassin,,
13720,Night and the City,1992,R,,Drama,,,,,Robert De Niro,
13721,Night and Day,1946,,128 minutes,,,,,,,
13722,Journey to the South Pacific,2013,G,40 minutes,Documentary,,,,Greg MacGillivary,,
13723,Nieve Negra,2016,,,Drama,,,,Martin Hodara,,"$604,075"
13724,La Niebla y la doncella,2017,,104 minutes,Thriller/Suspense,,,,AndrÃ©s M. Koppel,,"$1,391,946"
13725,Journey to the Center of the Earth,2008,PG,92 minutes,Adventure,,,,Eric Brevig,"Brendan Fraser,Anita Briem,Josh Hutcherson","$243,180,937"
13726,"Nie klam, kochanie",2008,,,Comedy,,,,,,"$6,773,855"
13727,Nicotina,2004,R,,Black Comedy,,,,,,"$5,559,100"
13728,Nie yin niang,2015,Not Rated,104 minutes,Drama,,,,Hou Hsiao-hsien,Shu Qi,"$6,832,542"
13729,Nico 2 - Lentajaveljekset,2012,G,,,,,,,,
13730,Nickyho rodina,2011,,96 minutes,Documentary,,,,,,"$86,596"
13731,Nico and Dani,2001,R,,Drama,,,,,,
13732,Open House,2010,R,,Drama,,,,,,
13733,Open Hearts,2003,R,,,,,,,,
13734,Open Graves,2010,R,,Horror,,,,,,
13735,Open Grave,2014,R,102 minutes,Horror,,,,Gonzolo Lopez-Gallego,,"$669,169"
13736,Oozham,2016,,,Thriller/Suspense,,,,Jeethu Joseph,,$624
13737,Opa!,2009,PG-13,,,,,,,,
13738,Open City,2008,,,,,,,,,"$10,051,886"
13739,Opal Dream,2006,PG,86 minutes,Drama,,,,,,
13740,Oorlogsgeheimen,2015,Not Rated,96 minutes,Drama,,,,Dennis Bots,,"$705,123"
13741,Ooops! Noah is Gone,2015,G,,Adventure,,,,Toby Genkel,,"$24,285,156"
13742,Oopiri,2015,,158 minutes,Drama,,,,Vamsi Paidipally,,"$7,534"
13743,The Battle of the Sexes,2016,,84 minutes,,,,,Charles Chrichton,,
13744,The Oogieloves in the BIG Balloon Adventure,2012,G,88 minutes,Adventure,,,,Matthew Diamond,"Misty Miller,Stephanie Renz,Malerie Grady",
13745,Battle of the Warriors,2009,R,,,,,,,,
13746,Battle of the Damned,2014,R,,Action,,,,Christopher Hatton,,"$134,452"
13747,Battle of the Sexes,2017,PG-13,121 minutes,Drama,,,,Jonathan Dayton,"Emma Stone,Steve Carell","$17,826,663"
13748,The Battle of Shaker Heights,2003,PG-13,,Comedy,,,,,Shia LaBeouf,"$839,145"
13749,The Battle of Pussy Willow Creek,2013,Not Rated,96 minutes,Comedy,,,,Wendy Jo Cohen,,
13750,Battle of the Year,2013,PG-13,109 minutes,Drama,,,,Benson Lee,"Josh Holloway,Laz Alonso,Caity Lotz,Chris Brown","$16,723,377"
13751,Battle of Britain,2010,,,Action,,,,,,
13752,The Battle of Britain at 75,2015,,,Concert/Performance,,,,,,"$351,880"
13753,Battle Mountain: Graeme ObreeÊ¼s Story,2015,,104 minutes,Documentary,,,,,,"$51,860"
13754,Battle Ground,2013,R,,,,,,,,
13755,Battle in Seattle,2008,R,98 minutes,Drama,,,,Stuart Townsend,"Andre Benjamin,Jennifer Carpenter,Woody Harrelson,Martin Henderson,Ray Liotta,Connie Nielsen,Michelle Rodriguez,Rade Sherbedgia","$873,537"
13756,En man som heter Ove,2016,PG-13,116 minutes,Comedy,,,,Hannes Holm,Rolf Lassgard,"$5,518,021"
13757,Battle: Los Angeles,2011,PG-13,116 minutes,Action,,,,Jonathan Liebesman,"Aaron Eckhart,Michelle Rodriguez,Ramon Rodriguez,Bridget Moynahan,Ne-Yo,Michael PeÃ±a","$213,463,976"
13758,Man Push Cart,2006,Not Rated,,,,,,,,
13759,MÃ¤n som hatar kvinnor,2009,R,152 minutes,Thriller/Suspense,,,,,"Michael Nyqvist,Noomi Rapace","$109,421,911"
13760,Man on the Train,2011,,,Drama,,,,,,
13761,Man on Wire,2008,PG-13,94 minutes,Documentary,,,,James Marsh,,"$5,617,067"
13762,Man on the Moon,1999,R,,Drama,,,,Milos Forman,Jim Carrey,"$47,407,635"
13763,The Man on Her Mind,2014,Not Rated,97 minutes,Romantic Comedy,,,,Bruce Guthrie,"Amy McAllister,Samuel James",
13764,Man on Fire,1987,R,,,,,,,,
13765,The Man of the Year,2004,,,,,,,,,
13766,Man on a Ledge,2012,PG-13,102 minutes,Thriller/Suspense,,,,Asger Leth,"Sam Worthington,Elizabeth Banks,Jamie Bell,Anthony Mackie,Edward Burns,Kyra Sedgwick,Ed Harris","$45,688,337"
13767,Man on a Mission,2012,Not Rated,83 minutes,Documentary,,,,Mike Woolf,,
13768,Man on Fire,2004,R,146 minutes,Thriller/Suspense,,,,Tony Scott,"Denzel Washington,Dakota Fanning","$130,968,579"
13769,Man of the Year,2006,PG-13,,Comedy,,,,Barry Levinson,Robin Williams,"$41,342,180"
13770,Man of the House,1995,PG,,Comedy,,,,,Chevy Chase,
13771,Man of the House,2005,PG-13,,Comedy,,,,Stephen Herek,,"$22,099,706"
13772,Patang,2012,,95 minutes,Drama,,,,Prashant Bhargava,"Nawazuddin Siddiqui,Suganda Garg",
13773,Patagonia Rising,2012,Not Rated,88 minutes,Documentary,,,,Brian Lilla,,
13774,Pat Garrett and Billy the Kid,1973,R,,,,,,Sam Peckinpah,,"$11,000,000"
13775,Pat a Mat ve filmu,2016,,80 minutes,Adventure,,,,,,"$483,547"
13776,The Pastorâ€™s Daughters,2017,,,Drama,,,,Sydnee Simone,,
13777,Patch Adams,1998,PG-13,115 minutes,Comedy,,,,Tom Shadyac,Robin Williams,"$202,173,000"
13778,El Pastor,2016,,98 minutes,Drama,,,,Jonathan Cenzual Burley,,"$2,328"
13779,Pastorela,2011,R,,,,,,,,"$2,461,744"
13780,Pastor Brown,2008,,,,,,,Rockmond Dunbar,,
13781,Pastime,1991,,,,,,,,,
13782,Passport to Love,2009,PG-13,,,,,,,,
13783,Past Life,2017,Not Rated,109 minutes,Thriller/Suspense,,,,Avi Nesher,,"$205,212"
13784,The Past is a Grotesque Animal,2014,Not Rated,90 minutes,Documentary,,,,Jason Miller,,
13785,The Legend of Secret Pass,2008,,,Adventure,,,,,,
13786,The Legend of Sasquatch,2006,,,,,,,Thomas Callicoat,"William Hurt,John Rhys-Davies",
13787,The Legend of Longwood,2015,PG,,Adventure,,,,Lisa Mulcahy,,"$61,319"
13788,The Legend of Lizzie Borden,2014,,,Drama,,,,Paul Wendkos,,
13789,The Legend of Rita,2001,Not Rated,,Drama,,,,,,"$1,299,953"
13790,The Legend of Suriyothai,2003,R,,,,,,,,
13791,The Legend of Pale Male,2010,Not Rated,85 minutes,Documentary,,,,Frederic Lilien,,
13792,The Legend of Tarzan,2016,PG-13,110 minutes,Adventure,,,,David Yates,"Alexander SkarsgÃ¥rd,Margot Robbie","$349,143,061"
13793,Alice,2010,,,Adventure,,,,,,
13794,The Legend of Hell House,2014,,,Horror,,,,John Hough,,
13795,The Legend of Leigh Bowery,2003,Not Rated,,,,,,,,
13796,Alice,1990,PG-13,,Drama,,,,Woody Allen,,
13797,The Legend of Hellâ€™s Gate: An American Conspiracy,2012,PG-13,108 minutes,Western,,,,Tanner Beard,"Eric Balfour,Lou Taylor Pucci,Tanner Beard",
13798,The Legend of Johnny Lingo,2003,G,,Adventure,,,,,,
13799,The Alibi,2006,R,,Comedy,,,,,,
13800,The Legend of Hercules,2014,PG-13,98 minutes,Adventure,,,,Renny Harlin,Kellan Lutz,"$58,953,319"
13801,Ali G Indahouse,2002,,,,,,,,,"$25,936,616"
13802,Alibaba Solomons Seal,2016,,80 minutes,Action,,,,,,"$1,700,000"
13803,Ali Kundilli 2,2015,,102 minutes,Comedy,,,,Faruk Aksoy,,"$1,114,266"
13804,Alibi.com,2016,,90 minutes,Comedy,,,,Philippe Lacheau,,"$27,175,000"
13805,Ali & Cavett: The Tale of the Tapes,2017,,94 minutes,Documentary,,,,Robert S. Bader,,
13806,Ali and Nino,2016,Not Rated,101 minutes,Drama,,,,Asif Kapadia,"Adam Bakri,Maria Valverde","$40,486"
13807,Ali Baba ve 7 CÃ¼celer,2015,,,Comedy,,,,Cem Yilmaz,,"$7,920,926"
13808,Indochine,1992,PG-13,,Drama,,,,,,
13809,Indivisibili,2017,,100 minutes,Drama,,,,Edoardo de Angelis,,"$309,584"
13810,Ali,2001,R,158 minutes,Drama,,,,Michael Mann,Will Smith,"$87,683,966"
13811,AlguÃ©m Como Eu,2017,,87 minutes,Comedy,,,,Leonel Vieira,,"$150,302"
13812,Algorithms,2014,Not Rated,100 minutes,Documentary,,,,Ian McDonald,,
13813,Indiscreet,1958,,100 minutes,,,,,Stanley Donen,,
13814,"Indio Black, sai che ti dico: Sei un gran figlio di",2017,,,Western,,,,Gianfranco Parolini,,
13815,Indigo Children,2014,Not Rated,71 minutes,Drama,,,,Eric Chaney,"Sean Robert Olsen,Isabelle McNally",
13816,Indigo,2005,Not Rated,,Drama,,,,,,
13817,Indigo,2008,,,,,,,,,"$2,607,447"
13818,Indie Game: The Movie,2012,,,Documentary,,,,,,
13819,Indigenous,2014,R,,Horror,,,,Alastair Orr,,
13820,Ã�ndice MÃ©dio de Felicidade,2017,,,Drama,,,,Joaquim LeitÃ£o,,"$49,119"
13821,Un indien dans la ville,1996,PG,90 minutes,Adventure,,,,,,
13822,IndigÃ¨nes,2006,Not Rated,120 minutes,Drama,,,,,,"$26,063,572"
13823,Indignation,2016,R,110 minutes,Drama,,,,James Schamus,"Logan Lerman,Sarah Gadon","$3,608,849"
13824,Hell Ride,2008,R,,Action,,,,Larry Bishop,Larry Bishop,
13825,Hell on Earth: The Fall of Syria and the Rise of ISIS,2017,R,,Documentary,,,,Sebastian Junger,,
13826,Hell House,2002,,,,,,,,,
13827,Hell Boats,1970,PG-13,,,,,,,,
13828,Hell in the Pacific,2017,G,103 minutes,,,,,John Boorman,,
13829,Hell Night,1981,,101 minutes,Horror,,,,Tom DeSimone,,
13830,Hell At My Heels,2011,PG,,Western,,,,,,
13831,Hell or High Water,2016,R,102 minutes,Western,,,,David Mackenzie,"Jeff Bridges,Chris Pine,Ben Foster","$37,584,304"
13832,Hell,2012,R,,Thriller/Suspense,,,,,,
13833,The Helixâ€¦Loaded,2005,R,97 minutes,Comedy,,,,A. Raven Cruz,,
13834,Helicopter Mom,2015,Not Rated,83 minutes,Comedy,,,,Salome Breziner,"Nia Vardalos,Jason Dolly",
13835,Hell and Back Again,2011,Not Rated,88 minutes,Documentary,,,,Danfung Dennis,,
13836,Delusion,2016,,90 minutes,Thriller/Suspense,,,,,,"$1,450,000"
13837,Demain,2017,Not Rated,118 minutes,Documentary,,,,Cyril Dion,,"$169,068"
13838,Deluge,1933,,70 minutes,,,,,Felix E. Feist,,
13839,Hell & Back,2015,R,84 minutes,Adventure,,,,Tom Gianas,"Nick Swardson,Mila Kunis,Bob Odenkirk,T.J. Miller,Rob Riggle,Susan Sarandon,Danny McBride",
13840,The Delta Force,1986,,,Action,,,,Menahem Golan,Chuck Norris,
13841,The Delta,1997,,,,,,,,,
13842,Delta of Venus,1995,NC-17,,Drama,,,,,,"$223,174"
13843,Hell Baby,2013,R,98 minutes,Black Comedy,,,,Thomas Lennon,"Rob Corddry,Leslie Bibb",
13844,Delta Force 2,1990,,,Action,,,,Aaron Norris,Chuck Norris,
13845,Delta Fever,1987,,,Drama,,,,William Webb,,
13846,Dellamorte Dellamore,1996,R,,Comedy,,,,,,
