id,title,year,mpaa,runtime,genres,director,stars,gross
24442,The Twilight Samurai,2004,Not Rated,-1,Drama,-1,-1,-1
24443,Siberia,2017,-1,-1,Thriller/Suspense,Matthew Ross,-1,-1
24444,Sian Ka'An,2011,-1,-1,Adventure,-1,-1,-1
24445,Sib,1999,-1,-1,Drama,-1,-1,-1
24446,"Sia, The Dream of the Python",2002,-1,-1,-1,-1,-1,-1
24447,Siakh lokhamim: ha'slilim ha'gnouzim,2015,Not Rated,87 minutes,Documentary,Mor Loushy,-1,"$42,503"
24448,Si Ren Hui Suo,2017,-1,93 minutes,Drama,Mic-go Ngan,-1,"$22,178"
24449,Si j'Ã©tais un homme,2016,-1,95 minutes,Comedy,Audrey Dana,-1,"$135,498"
24450,Si Ren Ding Zhi,2013,Not Rated,118 minutes,Comedy,-1,-1,"$115,889,225"
24451,Si da ming bu 3,2014,R,-1,Action,Gordon Chan,-1,-1
24452,Si j'Ã©tais toi,2008,-1,-1,-1,-1,"David Duchovny,Lili Taylor",-1
24453,Si-gan-i-tal-ja,2015,-1,107 minutes,Drama,-1,-1,"$8,281,286"
24454,Si da ming bu,2013,Not Rated,119 minutes,Action,-1,"Chao Deng,Liu Yifei,Ronald Cheng,Collin Chou",-1
24455,Si c'Ã©tait lui,2007,-1,-1,-1,-1,-1,"$718,625"
24456,Shy People,1988,R,-1,Drama,Andrei Konchalovsky,-1,-1
24457,Shwaas,2004,Not Rated,-1,Drama,-1,-1,-1
24458,Twilight of the Golds,1997,-1,-1,-1,-1,-1,-1
24459,Twilight: Los Angeles,2000,Not Rated,76 minutes,-1,-1,-1,-1
24460,Twilight in Forks: Saga of the Real Town,2010,-1,84 minutes,Documentary,-1,-1,-1
24461,The Twilight Saga: New Moon,2009,PG-13,130 minutes,Drama,Chris Weitz,"Kristen Stewart,Robert Pattinson,Taylor Lautner","$687,557,727"
24462,"The Twilight Saga: Breaking Dawn, Part 1",2011,PG-13,117 minutes,Drama,-1,"Kristen Stewart,Robert Pattinson,Taylor Lautner","$689,420,051"
24463,The Twilight Saga: Eclipse,2010,PG-13,124 minutes,Drama,David Slade,"Kristen Stewart,Robert Pattinson,Taylor Lautner","$706,102,828"
24464,Twice Upon a Time,1983,-1,-1,-1,-1,-1,-1
24465,Twice Upon a Yesterday,1999,-1,-1,-1,-1,-1,-1
24466,Twilight,1998,R,-1,Drama,-1,"Paul Newman,Susan Sarandon",-1
24467,"The Twilight Saga: Breaking Dawn, Part 2",2012,PG-13,115 minutes,Drama,-1,"Kristen Stewart,Robert Pattinson,Taylor Lautner","$829,724,737"
24468,Twice Shy,2016,-1,81 minutes,Romantic Comedy,Tom Ryan,-1,"$4,835"
24469,Shuttle,2009,R,-1,Horror,Edward Anderson,"Cameron Goodman,Peyton List",-1
24470,Twilight,2008,PG-13,121 minutes,Drama,Catherine Hardwicke,"Kristen Stewart,Robert Pattinson,Taylor Lautner","$402,280,159"
24471,Shut Up Little Man! An Audio Misadventure,2011,Not Rated,94 minutes,Documentary,Matthew Bate,-1,-1
24472,Twice in a Lifetime,1985,-1,-1,Drama,-1,-1,-1
24473,Shut Up and Sing,2006,R,-1,Documentary,-1,"Natalie Maines,Martie Maguire,Emily Robison","$2,000,043"
24474,Shutter,2008,PG-13,85 minutes,Horror,-1,-1,"$47,782,426"
24475,Shutter Island,2010,R,138 minutes,Thriller/Suspense,Martin Scorsese,Leonardo DiCaprio,"$299,461,782"
24476,Shut Up and Play the Hits,2012,Not Rated,108 minutes,Documentary,Dylan Southern,-1,"$646,222"
24477,Shuriken Sentai Ninninja tai Ressha Sentai TokkyÃ»jÃ¢ Za MÃ»bÃ® Ninja In WandÃ¢rando,2015,-1,64 minutes,Action,ShÃ´jirÃ´ Nakazawa,-1,"$424,399"
24478,Shuffle,2012,PG-13,82 minutes,Thriller/Suspense,Kurt Kuenne,-1,-1
24479,Shu shan zheng zhuan,2001,PG-13,-1,Action,Tsui Hark,-1,-1
24480,Shuddh Desi Romance,2013,Not Rated,141 minutes,Romantic Comedy,Maneesh Sharma,-1,-1
24481,Shubh Mangal Saavdhan,2017,Not Rated,119 minutes,Romantic Comedy,R.S. Prasanna,-1,"$6,587,047"
24482,Shut In,2016,R,91 minutes,Thriller/Suspense,Farren Blackburn,Naomi Watts,"$11,361,962"
24483,Shrooms,2008,Not Rated,-1,Horror,-1,-1,-1
24484,Twentieth Century Boys,2008,-1,-1,-1,-1,-1,"$34,571,688"
24485,Twenty Bucks,1993,-1,-1,Comedy,-1,"David Rasche,Linda Hunt",-1
24486,Twentynine Palms,2004,Not Rated,-1,Drama,-1,-1,"$81,517"
24487,Twelve O'Clock High,1949,-1,132 minutes,-1,-1,-1,-1
24488,Twenty-Two,2017,Not Rated,95 minutes,Documentary,-1,-1,"$25,717,480"
24489,Twelve Monkeys,1995,R,130 minutes,Drama,Terry Gilliam,"Bruce Willis,Madeleine Stowe,Brad Pitt","$168,841,459"
24490,Twelve and Holding,2006,R,-1,Drama,-1,-1,"$314,017"
24491,TWA Flight 800,2013,PG-13,-1,-1,-1,-1,-1
24492,'Twas the Night Before Christmas,1974,-1,-1,Adventure,-1,-1,-1
24493,Twelfth Night: Or What You Will,1996,PG,133 minutes,Comedy,Trevor Nunn,Helena Bonham Carter,-1
24494,Twelve,2010,R,93 minutes,Thriller/Suspense,Joel Schumacher,"Billy Magnussen,Chance Crawford,Emily Meade,Ellen Barkin,Esti Ginzberg,Rory Culkin,Curtis Jackson",-1
24495,The Shrine,2011,-1,-1,Horror,-1,-1,-1
24496,Shriver,2017,-1,-1,Comedy,Michael Maren,-1,-1
24497,Sherk's Thrilling Tales,2012,-1,-1,Adventure,-1,-1,-1
24498,Shrink,2009,R,-1,Drama,Jonas Pate,Kevin Spacey,-1
